강릉 20 이상  25.416.526.2 58동2.11011.8
강진군 20 이상  22.120.525.33.091동1.51007.6
강화 14.5  24.617.826.0 66동남동1.91010.5
거제 17.6  22.918.825.26.678북북동1.31009.2
거창 5.6  19.618.222.72.892정온0.31009.9
경주시 15.2  21.219.424.36.390북2.81010.3
고산 19.8  25.924.629.314.293북동4.71007.0
고창 20 이상  25.520.927.76.476북2.31008.4
고창군구름많음20 이상7124.519.326.47.873북북서2.11008.2
고흥 20 이상  22.719.025.12.380북동1.61008.2
광양시 17.4  22.119.224.80.284북동31009.0
광주구름많음20 이상7724.022.227.10.890북동2.31008.4
구미 20 이상  21.618.324.10.382서0.51010.5
군산 19.9  25.418.526.80.066북1.61009.3
금산 20 이상  24.217.125.6 65동2.41009.4
김해시 13.1  23.819.926.2 79북서1.21009.6
남원 20 이상  22.518.024.6 76동북동41008.7
남해 20 이상  20.918.823.83.888북2.51009.2
대관령 20 이상  18.714.520.9 77동남동3.21011.4
대구흐림20 이상10822.018.124.32.579남남동0.61009.9
대전구름조금20 이상3126.619.227.9 64남남동31009.6
동두천 20 이상  25.817.726.8 61남동11010.3
동해 20 이상  23.918.725.8 73북동2.51011.5
목포구름많음19.48823.820.526.40.282동북동2.21008.6
문경 20 이상  23.017.224.7 70동남동11009.6
밀양 20 이상  23.519.025.71.076북0.91008.5
백령도맑음20 이상0024.018.825.9 73남동51008.5
보령 20 이상  25.816.626.5 57동북동1.41007.9
보성군 20 이상  23.620.126.11.881 1007.9
보은 20 이상  23.815.824.8 61북동1.71009.5
봉화 20 이상  20.712.621.70.260북북동31010.2
부산흐림20 이상9424.520.126.70.877북동3.81007.5
부안 20 이상  25.719.327.30.068동북동2.21009.1
부여 19.8  26.416.326.9 54동2.71009.8
북강릉구름조금19.54323.115.924.4 64서북서0.91011.2
북창원 20 이상  23.820.926.50.184북서1.51008.7
북춘천맑음20 이상2225.615.025.9 52북동2.21010.4
산청 8.5  19.618.722.91.495북북서1.11010.4
상주 20 이상  23.519.225.7 77남서11010.2
서귀포구름많음20 이상6626.123.729.187.087동북동3.71006.7
서산 20 이상  25.816.926.6 58동북동3.71009.4
서울맑음20 이상0026.217.227.0 58동북동2.11009.4
성산 18.6  23.921.226.726.685북북동3.81007.4
세종 18.3  25.515.726.1 55동남동3.11009.1
속초 20 이상  24.819.626.8 73북북동2.21011.8
수원맑음19.91126.117.927.1 61동남동3.11009.5
순창군 17.0  23.419.125.60.477동1.51008.8
순천 20 이상  22.919.625.50.082북동0.51007.4
안동흐림20 이상10723.915.924.9 61동남동3.41010.5
양산시 15.6  23.819.926.2 79북동4.11008.7
양평 17.1  25.216.025.9 57동2.21010.7
여수흐림20 이상10222.518.624.81.779동북동6.51008.2
영광군 18.1  24.620.226.86.177북북동1.61008.5
영덕 20 이상  22.717.324.6 72북동5.31010.6
영월 20 이상  26.217.227.0 58동북동11009.7
영주 20 이상  23.616.124.8 63남0.91010.2
영천 20 이상  23.118.225.11.974동2.91010.4
완도 3.9  21.620.725.03.095북북동1.61008.6
울릉도비 끝20 이상9622.118.824.60.082동21010.3
울산약한 비 단속적11.210821.320.924.91.398북북동2.11009.4
울진 19.6  24.919.426.8 72북북서2.51011.3
원주 19.2  24.515.125.2 56북서0.91009.5
의령군 4.1  22.019.925.01.388 1.31009.5
의성 20 이상  22.517.624.50.074북동1.51009.3
이천 19.8  25.718.827.1 66동1.21010.2
인제 20 이상  23.514.724.3 58동1.41010.7
인천구름조금20 이상3325.914.325.9 49동남동1.71009.3
임실 20 이상  23.018.325.13.175남남동1.51008.6
장수 20 이상  21.318.624.01.485북북서1.31008.6
장흥 20 이상  22.420.825.61.091서남서0.81008.2
전주구름조금20 이상5525.017.926.40.265북동21008.5
정선군 13.2  25.212.424.9 45동남동2.11010.3
정읍 20 이상  24.019.926.32.878남동2.21008.2
제주비 끝20 이상9924.123.427.721.896동북동5.21007.9
제천 20 이상  24.515.925.4 59동남동2.11010.0
진도군 20 이상  23.921.226.71.685동북동21007.6
진주 20 이상  21.119.324.20.590북서0.81009.6
창원흐림20 이상10922.817.924.80.174북동1.41008.6
천안 20 이상  24.616.525.6 61동2.41010.3
철원 20 이상  25.216.826.2 60북북동31010.2
청송군 20 이상  22.317.024.20.572북1.71010.6
청주맑음20 이상1126.616.527.1 54동북동2.11009.4
추풍령 20 이상  20.917.523.40.181동2.21009.9
춘천 19.7  25.315.025.7 53북북동3.11010.4
충주 19.5  25.517.626.6 62동남동2.51009.7
태백 20 이상  17.714.020.00.879동북동1.51010.4
통영 20 이상  24.020.126.45.779북41008.7
파주 20 이상  24.819.626.8 73북동1.91010.5
포항약한 비 단속적13.110822.119.424.80.585북동2.41010.5
함양군 20 이상  20.718.023.41.485동북동11010.0
합천 20 이상  21.419.824.53.191북동1.21009.8
해남 15.2  22.420.625.50.590동2.51008.5
홍성맑음20 이상0025.218.626.7 67북북동2.41009.3
홍천 20 이상  25.014.725.4 53북동2.31010.3
흑산도구름많음20 이상6625.522.328.20.783북북동3.31008.3
